[2025-08-22 12:40:19] [INFO] Baza danych zainicjalizowana
[2025-08-22 12:40:19] [INFO] Przywrócono 201 zadań do kolejki
[2025-08-22 12:40:19] [INFO] 🚀 Worker pobierania uruchomiony
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 145, 'item_id': '400765861', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E13.mp4', 'title': 'Wednesday - S01E13.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 146, 'item_id': '400765862', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E14.mp4', 'title': 'Wednesday - S01E14.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 147, 'item_id': '400765863', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E15.mp4', 'title': 'Wednesday - S01E15.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 148, 'item_id': '400765864', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E16.mp4', 'title': 'Wednesday - S01E16.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 149, 'item_id': '400765865', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E17.mp4', 'title': 'Wednesday - S01E17.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 150, 'item_id': '400765866', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E18.mp4', 'title': 'Wednesday - S01E18.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 151, 'item_id': '400765867', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E19.mp4', 'title': 'Wednesday - S01E19.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 152, 'item_id': '400765868', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E20.mp4', 'title': 'Wednesday - S01E20.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 153, 'item_id': '400765869', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E21.mp4', 'title': 'Wednesday - S01E21.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 154, 'item_id': '400765870', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E22.mp4', 'title': 'Wednesday - S01E22.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 155, 'item_id': '400765871', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E23.mp4', 'title': 'Wednesday - S01E23.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 156, 'item_id': '400765872', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E24.mp4', 'title': 'Wednesday - S01E24.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 157, 'item_id': '400765873', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E25.mp4', 'title': 'Wednesday - S01E25.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 158, 'item_id': '400765874', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E26.mp4', 'title': 'Wednesday - S01E26.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 159, 'item_id': '400765875', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E27.mp4', 'title': 'Wednesday - S01E27.mp4', 'item_type': 'series'}
